Time,Temperature
2024-03-01,14.5
2024-03-02,13.1
2024-03-03,16.2
2024-03-04,19.3
2024-03-05,25.6
2024-03-06,22.2
2024-03-07,15.9
2024-03-08,16.2
2024-03-09,14.3
2024-03-10,16.6
2024-03-11,16.9
2024-03-12,18.1
2024-03-13,18.3
2024-03-14,18.8
2024-03-15,19.7
2024-03-16,21.5
2024-03-17,23.1
2024-03-18,20.4
2024-03-19,17.7
2024-03-20,18.4
2024-03-21,19.7
2024-03-22,21.8
2024-03-23,25.8
2024-03-24,26.9
2024-03-25,26.8
2024-03-26,23.9
2024-03-27,21.6
2024-03-28,24.4
2024-03-29,24.6
2024-03-30,25.9
2024-03-31,26.5
2024-04-01,24.9
2024-04-02,26.9
2024-04-03,27.6
2024-04-04,26.3
2024-04-05,23.5
2024-04-06,23.6
2024-04-07,24.1
2024-04-08,24.5
2024-04-09,21.2
2024-04-10,22.7
2024-04-11,24.0
2024-04-12,26.6
2024-04-13,25.8
2024-04-14,27.0
2024-04-15,27.4
2024-04-16,26.5
2024-04-17,26.9
2024-04-18,26.6
2024-04-19,25.8
2024-04-20,27.6
2024-04-21,28.0
2024-04-22,27.5
2024-04-23,26.0
2024-04-24,24.6
2024-04-25,23.5
2024-04-26,23.5
2024-04-27,26.2
2024-04-28,24.6
2024-04-29,27.4
2024-04-30,26.8
2024-05-01,24.0
2024-05-02,23.9
2024-05-03,23.9
2024-05-04,25.6
2024-05-05,25.9
2024-05-06,27.2
2024-05-07,26.2
2024-05-08,25.8
2024-05-09,23.4
2024-05-10,24.5
2024-05-11,26.0
2024-05-12,27.8
2024-05-13,23.2
2024-05-14,22.3
2024-05-15,23.7
2024-05-16,23.0
2024-05-17,23.8
2024-05-18,24.4
2024-05-19,25.7
2024-05-20,26.1
2024-05-21,26.8
2024-05-22,26.6
2024-05-23,26.8
2024-05-24,25.9
2024-05-25,27.0
2024-05-26,27.2
2024-05-27,27.7
2024-05-28,25.3
2024-05-29,24.7
2024-05-30,28.0
2024-05-31,29.9
2024-06-01,28.4
2024-06-02,26.0
2024-06-03,23.6
2024-06-04,25.1
2024-06-05,25.2
2024-06-06,25.5
2024-06-07,26.2
2024-06-08,27.8
2024-06-09,28.6
2024-06-10,28.1
2024-06-11,28.6
2024-06-12,29.1
2024-06-13,28.8
2024-06-14,28.8
2024-06-15,30.2
2024-06-16,29.8
2024-06-17,30.0
2024-06-18,30.2
2024-06-19,30.0
2024-06-20,30.6
2024-06-21,31.4
2024-06-22,31.8
2024-06-23,31.6
2024-06-24,30.6
2024-06-25,29.5
2024-06-26,29.7
2024-06-27,30.3
2024-06-28,31.2
2024-06-29,30.8
2024-06-30,30.6
2024-07-01,31.2
2024-07-02,31.0
2024-07-03,29.8
2024-07-04,30.3
2024-07-05,30.4
2024-07-06,29.5
2024-07-07,28.6
2024-07-08,27.4
2024-07-09,28.7
2024-07-10,30.3
2024-07-11,30.3
2024-07-12,31.0
2024-07-13,30.7
2024-07-14,30.5
2024-07-15,30.4
2024-07-16,30.2
2024-07-17,29.4
2024-07-18,30.1
2024-07-19,30.7
2024-07-20,30.9
2024-07-21,30.1
2024-07-22,30.5
2024-07-23,31.1
2024-07-24,28.0
2024-07-25,26.0
2024-07-26,26.6
2024-07-27,29.4
2024-07-28,29.3
2024-07-29,28.8
2024-07-30,30.1
2024-07-31,30.3
2024-08-01,30.7
2024-08-02,31.0
2024-08-03,31.1
2024-08-04,30.9
2024-08-05,30.8
2024-08-06,29.1
2024-08-07,29.6
2024-08-08,29.4
2024-08-09,29.9
2024-08-10,28.5
2024-08-11,29.6
2024-08-12,30.7
2024-08-13,30.7
2024-08-14,29.3
2024-08-15,26.6
2024-08-16,28.2
2024-08-17,27.9
2024-08-18,28.6
2024-08-19,27.7
2024-08-20,27.5
2024-08-21,28.5
2024-08-22,29.3
2024-08-23,30.0
2024-08-24,28.9
2024-08-25,28.8
2024-08-26,29.3
2024-08-27,29.6
2024-08-28,30.2
2024-08-29,29.8
2024-08-30,29.8
2024-08-31,29.9
2024-09-01,29.4
2024-09-02,29.8
2024-09-03,29.9
2024-09-04,30.1
2024-09-05,28.9
2024-09-06,29.3
2024-09-07,28.6
2024-09-08,27.0
2024-09-09,27.0
2024-09-10,28.1
2024-09-11,29.3
2024-09-12,28.7
2024-09-13,28.6
2024-09-14,25.9
2024-09-15,28.2
2024-09-16,28.9
2024-09-17,29.8
2024-09-18,29.1
2024-09-19,29.7
2024-09-20,28.0
2024-09-21,27.4
2024-09-22,25.5
2024-09-23,28.3
2024-09-24,28.7
2024-09-25,28.5
2024-09-26,28.4
2024-09-27,27.8
2024-09-28,27.8
2024-09-29,28.7
2024-09-30,29.1
