Time,Precp
2024-10-01,0.0
2024-10-02,3.0
2024-10-03,0.0
2024-10-04,0.0
2024-10-05,0.0
2024-10-06,0.0
2024-10-07,0.0
2024-10-08,0.0
2024-10-09,0.0
2024-10-10,0.0
2024-10-11,0.0
2024-10-12,0.5
2024-10-13,0.0
2024-10-14,0.5
2024-10-15,0.5
2024-10-16,0.0
2024-10-17,0.5
2024-10-18,0.5
2024-10-19,0.0
2024-10-20,0.0
2024-10-21,0.0
2024-10-22,0.0
2024-10-23,0.0
2024-10-24,0.0
2024-10-25,0.0
2024-10-26,0.0
2024-10-27,0.0
2024-10-28,0.0
2024-10-29,0.0
2024-10-30,0.0
2024-10-31,54.0
2024-11-01,40.0
2024-11-02,0.0
2024-11-03,0.0
2024-11-04,0.0
2024-11-05,0.0
2024-11-06,0.0
2024-11-07,0.0
2024-11-08,0.0
2024-11-09,0.0
2024-11-10,0.0
2024-11-11,0.0
2024-11-12,0.0
