TIME,Rain(mm)
2024/1/1,1.5
2024/1/2,1.5
2024/1/3,0.5
2024/1/4,0.5
2024/1/5,1
2024/1/6,1
2024/1/7,0.5
2024/1/8,0.5
2024/1/9,1
2024/1/10,0.5
2024/1/11,0.5
2024/1/12,0
2024/1/13,0
2024/1/14,0
2024/1/15,0
2024/1/16,0
2024/1/17,0
2024/1/18,0
2024/1/19,0
2024/1/20,0
2024/1/21,2
2024/1/22,0
2024/1/23,6
2024/1/24,0
2024/1/25,0
2024/1/26,0
2024/1/27,0
2024/1/28,0
2024/1/29,0.5
2024/1/30,0
2024/1/31,0
2024/2/1,0
2024/2/2,0
2024/2/3,0
2024/2/4,0
2024/2/5,0
2024/2/6,0
2024/2/7,0
2024/2/8,10
2024/2/9,12
2024/2/10,0
2024/2/11,0
2024/2/12,0
2024/2/13,0
2024/2/14,0
2024/2/15,0
2024/2/16,0
2024/2/17,0
2024/2/18,0
2024/2/19,0
2024/2/20,0
2024/2/21,0
2024/2/22,0
2024/2/23,0
2024/2/24,0
2024/2/25,0
2024/2/26,0
2024/2/27,0
2024/2/28,0
2024/2/29,0
2024/3/1,0
2024/3/2,0.5
2024/3/3,0
2024/3/4,0
2024/3/5,0
2024/3/6,0
2024/3/7,0.5
2024/3/8,0
2024/3/9,0
2024/3/10,1
2024/3/11,18
2024/3/12,0.5
2024/3/13,0
2024/3/14,0
2024/3/15,0
2024/3/16,0
2024/3/17,0
2024/3/18,0
2024/3/19,0
2024/3/20,0
2024/3/21,0
2024/3/22,0
2024/3/23,0
2024/3/24,0
2024/3/25,0
2024/3/26,0
2024/3/27,0
2024/3/28,0
2024/3/29,0
2024/3/30,10.5
2024/3/31,1
2024/4/1,2.5
2024/4/2,0
2024/4/3,0.5
2024/4/4,0.5
2024/4/5,0
2024/4/6,0
2024/4/7,3
2024/4/8,0.5
2024/4/9,1
2024/4/10,0
2024/4/11,0
2024/4/12,0
2024/4/13,0
2024/4/14,0
2024/4/15,0
2024/4/16,0
2024/4/17,0
2024/4/18,0
2024/4/19,0
2024/4/20,0
2024/4/21,0
2024/4/22,0
2024/4/23,6.5
2024/4/24,60
2024/4/25,41
2024/4/26,8.5
2024/4/27,0
2024/4/28,25
2024/4/29,0
2024/4/30,9.5
2024/5/1,23.5
2024/5/2,1.5
2024/5/3,0
2024/5/4,0
2024/5/5,3
2024/5/6,0
2024/5/7,0
2024/5/8,0
2024/5/9,0
2024/5/10,0
2024/5/11,0
2024/5/12,0
2024/5/13,0
2024/5/14,0
2024/5/15,0
2024/5/16,0
2024/5/17,0
2024/5/18,0
2024/5/19,0
2024/5/20,0
2024/5/21,0.5
2024/5/22,0
2024/5/23,0
2024/5/24,1
2024/5/25,0
2024/5/26,0
2024/5/27,2
2024/5/28,57
2024/5/29,0.5
2024/5/30,2
2024/5/31,3
2024/6/1,1.5
2024/6/2,46
2024/6/3,0
2024/6/4,1
2024/6/5,2
2024/6/6,1
2024/6/7,0
2024/6/8,0
2024/6/9,47
2024/6/10,1
2024/6/11,0
2024/6/12,4
2024/6/13,0
2024/6/14,23
2024/6/15,0
2024/6/16,0
2024/6/17,0
2024/6/18,17
